排序,一级目录,二级目录,岗位工作内容
,,火锅底料/打锅,负责火锅底料炒制、调配与打锅，把控底料口味与浓度，按顾客需求调整锅底，做好底料储存与设备清洁，保障火锅出品标准。
,,烧烤/烤鸭/穿串,负责烧烤、烤鸭制作与食材穿串，把控烤制火候与调味，保证食材熟度与口感，做好烤具维护与卫生，按订单高效出品。
,,西餐厨师,负责西餐菜品制作、摆盘与出品，把控食材新鲜度与烹饪标准，熟悉西餐流程，配合出餐节奏，保障菜品口味与颜值达标。
,,日料/寿司/刺身,负责寿司、刺身、日料小食制作，把控食材新鲜度与刀工，按标准摆盘出品，做好冷藏与卫生管理，保障日料品质与安全。
,,韩料,负责韩餐菜品制作、腌制与调味，熟悉韩料流程与口味标准，把控食材处理与烹饪，配合出餐，保证韩餐口味正宗、出品稳定。
,,小吃厨师,负责特色小吃制作与出品，把控配方与制作流程，保证小吃口感与品相，做好食材管理与区域清洁，按订单高效完成制作。
,,雕刻/姿造,负责菜品雕刻、盘饰与姿造摆盘，提升菜品颜值与档次，配合厨师团队完成出品，做好工具维护与卫生，打造精致菜品呈现。
3,后厨-其他,勤杂工/洗碗工,负责餐具清洗、消毒与归类，清理后厨垃圾与卫生，维护洗碗设备，保障餐具洁净充足，配合后厨运转，做好区域清洁与安全。
,,配菜/切配/墩子,负责食材清洗、切配、改刀与分装，把控食材规格与新鲜度，按订单精准配货，做好墩台清洁与食材管理，保障出餐效率。
,,打荷,负责菜品传递、摆盘辅助、餐具准备，配合炒锅师傅完成出品，做好荷台清洁与物料补给，衔接后厨流程，保障出餐顺畅。
,,快餐备餐员,负责快餐食材预处理、分装与备餐，按标准准备餐品，把控食材新鲜度，配合出餐节奏，做好备餐区清洁，保障快餐高效出品。
,,后厨学徒/帮厨,协助厨师完成食材清洗、切配、打杂等工作，学习后厨流程与技能，配合团队完成备餐、清洁等任务，遵守后厨规章制度。
4,饮品/甜点,咖啡师,负责咖啡冲泡、拉花与制作，把控萃取、奶泡与口感，维护咖啡设备，推介咖啡产品，做好吧台清洁，为顾客提供优质咖啡饮品。
,,奶茶师,负责奶茶、果茶制作，把控茶汤、配料与甜度，按标准出品，维护饮品设备，做好吧台清洁，高效完成订单，保证饮品口感稳定。
,,茶艺师,负责茶叶冲泡、茶艺展示与茶品推介，把控水温、冲泡时长，提供专业茶服务，做好茶台清洁与茶具维护，提升顾客品茶体验。
,,烘焙/裱花,负责蛋糕、甜品烘焙与裱花装饰，把控配方与造型，保证甜品口感与颜值，做好原料管理与设备清洁，按订单完成制作。
,,水吧,负责各类饮品制作、备料与出杯，把控饮品标准，维护水吧设备，做好吧台清洁与物料补给，高效完成饮品订单，配合门店运营。
,,调酒师,负责鸡尾酒、特调饮品制作，把控配方与口感，熟悉酒水知识，推介酒品，做好吧台清洁与酒具维护，提供专业调酒服务。
5,综合职能支持,文员/库管,负责门店文档整理、数据统计，食材入库、盘点、保管与出库，管控库存数量与保质期，做好台账记录，保障库存准确、物料充足。
,,人力资源,负责员工招聘、入职、考勤、社保办理，组织培训与绩效考核，处理员工关系，完善人事流程，保障门店人力配置与管理规范。
,,财务/出纳,负责门店账务核对、收支登记、报销与现金管理，编制财务报表，对接税务与对账工作，保证账目清晰、资金安全，合规完成财务工作。
,,采购,负责食材、物料询价、采购与验收，把控品质与成本，对接供应商，保障物料及时供应，做好采购台账，优化采购流程与成本管控。
,,运营/营销/销售,负责门店活动策划、线上线下推广，提升客流与业绩，维护客户关系，分析运营数据，优化经营策略，完成销售与运营指标。
,,品控/食安/督导,负责食品安全、卫生与出品质量检查，落实食安规范，督导门店运营标准，排查风险，整改问题，保障门店合规安全运营。
6,其他,其他,例如：负责门店交办的各类辅助工作，配合各岗位完成日常运营，做好区域清洁与物料协助，遵守门店规章制度，保障门店整体运转顺畅。
